URL: https://www.bcit.ca/global-partnerships/partner-institutes/
Title: Partner Institutes

================================================================================

## Partner Institutes
No. | Name of Institute | Country | Program | Start dates
1 | Chien Shiung Institute of Technology | China | Mechanical Engineering Technology – Design | 2006
2 | Dalian Maple Leaf Vocational Institute of Technology | China | Computer Systems Technology | 2005
3 | Dong-Eui Institute of Technology | South Korea | Computer Systems Technology | 2006
4 | Eulji University | South Korea | Computer Systems Technology | 2006
5 | Fuzhou Vocational and Technical Institute | China | Computer Systems Technology | 2006
6 | Guangxi Vocational Technology College of Communications | China | Computer Systems Technology | 2007
7 | Jiangsu Institute of Economic and Trade Technology | China | Financial Management Technology | 2005
8 | Myongji College | South Korea | Computer Systems Technology | 2006
9 | Nanjing College of Information Technology | China | Computer Systems Technology | 2005
10 | Osan University | South Korea | Automotive Technical Studies | 2014
11 | Pontifical Catholic University of Parana | Brazil | Digital Animation | 2011
12 | Shenyang Institute of Engineering | China | Mechanical Engineering Technology – System | 2001
13 | Sichuan Vocational Technology College of Communications | China | Computer Systems Technology | 2007
14 | Tianjin Zhong-De Vocational Technology of Institute | China | Computer Systems Technology | 2004
15 | Vietnam National University | Vietnam | Computer Systems Technology | 2007
16 | Wenzhou Vocational and Technical College | China | Mechanical Engineering Technology – Design | 2007
17 | Wuxi Professional College of Science and Technology | China | Computer Systems Technology | 2005
18 | Yeungnam College of Science and Technology | South Korea | Mechanical Engineering Technology – Design | 2006
19 | Zhangzhou Institute of Technology | China | Computer Systems Technology | 2006
20 | Dongguan Polytechnic | China | Computer Systems Technology | 2017
